çëåÍ,âpåÍ,êîäw,ï®óù,âªäw
55,59,60,68,64
63,57,58,57,59
63,63,74,62,66
68,64,61,57,60
51,62,63,61,66
56,53,59,66,63
60,64,59,60,62
51,51,71,72,72
43,42,50,47,46
59,59,69,58,64
69,62,57,51,45
57,49,64,60,69
59,54,64,62,65
43,43,43,44,44
77,76,82,76,77
78,75,76,76,78
74,72,82,80,79
49,48,71,71,68
64,59,62,58,59
53,54,67,72,76
41,46,36,39,42
55,57,59,70,65
59,56,58,53,58
55,61,70,71,69
70,68,54,52,45
58,60,62,61,59
62,70,49,49,56
45,44,47,50,50
65,64,51,59,58
61,64,46,54,57
53,49,64,62,58
61,63,62,65,62
66,64,63,63,66
56,58,60,61,63
69,73,75,74,74
66,58,58,66,65
55,53,55,57,55
68,56,54,49,58
42,46,41,40,46
59,60,55,62,60
60,61,63,65,69
54,68,62,60,61
52,54,66,67,72
72,70,69,68,70
65,64,64,60,59
61,57,55,56,65
66,67,53,50,55
66,68,56,53,58
56,53,51,54,58
55,61,65,51,63
50,60,59,55,50
55,56,51,51,51
47,43,40,44,40
64,69,41,54,47
57,57,68,64,63
70,57,51,46,48
66,59,56,49,53
62,63,61,59,61
64,56,63,65,64
66,64,60,64,68
61,66,45,51,47
72,73,53,50,41
64,63,53,50,55
71,68,46,44,46
65,72,46,50,44
61,62,55,61,59
46,48,70,71,67
73,73,74,77,70
52,48,70,70,70
77,81,79,74,74
40,42,45,43,43
59,55,62,64,66
40,44,47,42,42
59,64,60,58,66
58,49,60,60,59
72,71,70,72,71
54,53,63,61,59
63,65,56,45,54
63,58,45,49,53
72,68,55,57,53
55,61,61,61,56
49,66,53,58,67
75,76,67,66,69
67,62,60,64,67
52,52,52,58,55
69,65,57,62,58
58,62,56,57,63
76,74,75,79,75
56,55,55,53,49
38,38,49,48,47
54,52,56,54,66
50,59,55,59,56
59,59,56,50,47
63,61,62,53,61
61,53,61,66,60
74,73,37,40,34
65,67,63,61,63
70,73,74,78,73
49,51,66,70,68
65,69,79,76,79
