ÉNÉâÉX,çëåÍ,âpåÍ,êîäw
2,66,65,51
1,63,62,60
0,44,60,54
2,63,65,49
2,66,68,45
1,58,61,62
2,62,65,44
2,59,58,50
0,43,60,61
1,64,65,62
2,59,60,48
0,52,65,64
1,55,56,59
2,68,68,47
0,56,73,61
0,50,68,59
2,68,66,46
0,48,60,67
2,74,69,50
1,58,53,54
1,57,57,64
1,61,59,60
1,56,56,59
1,67,66,57
2,63,67,45
1,56,58,58
1,64,65,59
2,68,66,48
2,69,68,46
2,68,69,46
0,45,64,59
0,40,56,53
0,39,54,60
1,60,60,61
2,69,71,50
1,65,64,59
1,68,72,61
1,55,52,65
2,72,73,42
0,49,64,55
2,61,64,48
0,49,64,60
0,49,67,61
0,54,72,59
0,44,62,61
1,61,58,55
2,58,60,45
0,50,64,63
0,46,63,56
0,47,62,57
0,49,65,62
2,60,57,46
1,51,53,58
1,59,60,60
0,52,67,62
2,71,71,51
1,59,62,62
0,50,67,60
2,64,66,52
1,58,60,61
1,55,58,57
1,59,59,57
0,42,57,61
2,72,74,46
2,65,66,53
2,73,72,53
2,61,61,49
1,64,63,69
0,51,68,61
0,46,64,62
1,68,72,62
2,68,64,56
2,64,64,47
0,44,62,57
1,55,57,57
2,65,65,53
0,47,58,61
0,52,69,54
1,56,57,57
1,58,58,57
1,60,64,62
1,56,58,55
2,68,70,45
2,58,61,49
2,58,60,46
0,51,68,61
2,69,68,48
2,63,61,50
2,69,69,49
2,61,62,48
2,60,62,48
0,52,68,60
2,67,69,44
1,57,56,59
1,61,60,66
1,54,51,54
1,62,63,59
0,44,62,58
1,52,53,58
0,50,65,58
2,55,56,43
2,61,60,51
1,59,63,57
1,68,68,64
0,51,66,63
2,61,59,44
2,73,76,49
2,63,63,46
2,63,63,50
2,66,66,45
1,61,62,60
1,64,63,58
0,47,65,54
0,56,72,60
2,61,60,52
0,50,66,64
1,60,60,56
2,64,62,48
1,56,55,62
0,57,72,62
0,51,64,63
1,56,56,58
0,55,72,62
0,45,59,57
0,50,64,59
1,50,48,58
1,65,62,58
2,62,63,51
1,59,64,58
0,47,61,58
0,46,63,55
1,64,63,61
0,58,76,61
0,52,65,57
1,56,56,59
1,58,59,58
2,61,64,46
2,66,66,47
0,48,62,62
2,61,60,45
0,49,67,63
1,62,64,60
2,68,67,52
0,49,61,58
1,61,62,61
1,56,59,57
0,44,59,61
0,52,67,57
0,52,66,62
2,68,70,47
2,68,67,49
0,48,63,61
2,62,61,46
2,65,66,53
2,67,65,50
0,52,67,62
0,52,69,61
0,45,60,59
2,56,56,42
1,64,64,63
1,60,60,60
0,55,73,60
0,48,65,58
1,60,60,62
0,54,70,59
0,43,59,60
0,57,73,57
1,48,49,59
0,50,66,55
2,65,65,50
2,58,60,50
1,64,66,60
2,70,72,49
0,54,70,61
1,58,62,59
2,58,59,44
1,57,57,59
2,57,57,45
2,59,58,44
0,48,62,61
1,61,62,64
1,53,52,55
2,63,65,48
2,64,64,46
1,63,63,63
1,67,68,61
2,70,70,44
0,51,66,57
2,75,74,50
0,42,54,57
2,68,68,44
1,53,53,56
0,44,55,53
1,65,65,63
1,52,53,54
0,43,56,56
0,54,68,56
2,65,61,46
0,48,60,62
2,62,64,49
2,71,70,48
2,66,66,49
0,53,68,60
0,44,59,62
0,39,56,53
0,45,63,61
2,63,63,44
1,59,59,60
2,66,66,49
0,50,64,57
2,63,66,50
1,56,55,59
1,57,60,60
0,56,68,59
1,58,58,63
1,66,66,57
2,62,62,44
1,66,67,63
2,61,61,47
2,71,72,44
1,60,59,69
0,45,65,61
0,46,61,63
2,64,67,53
0,49,63,60
1,55,58,54
1,58,58,59
1,54,58,57
2,56,57,45
2,67,69,50
1,54,55,66
2,64,64,50
0,47,63,61
0,44,61,55
2,62,64,55
0,58,73,63
1,62,61,62
1,65,64,65
0,40,57,58
0,48,64,57
1,67,64,65
2,73,71,52
0,51,65,58
0,40,57,51
1,57,56,58
2,64,64,52
1,67,63,64
0,53,67,55
1,59,59,59
1,58,55,55
0,59,73,61
0,46,64,60
2,64,64,50
2,66,65,50
0,52,65,58
1,54,57,60
0,53,64,62
2,65,65,53
1,58,60,64
0,45,58,52
1,62,62,60
1,58,58,62
1,60,56,58
2,69,64,51
2,64,64,52
0,46,60,57
0,50,65,54
1,56,58,65
1,53,53,64
2,64,66,45
2,69,66,47
1,65,64,61
2,59,58,47
1,58,58,55
0,47,61,60
1,56,59,59
2,61,63,48
1,61,60,61
2,67,70,49
0,52,62,58
0,51,68,63
1,59,60,61
2,64,64,47
1,67,66,64
2,63,62,51
0,51,65,58
1,53,54,63
0,59,72,62
0,46,60,57
0,51,66,62
2,70,68,45
2,60,60,46
2,66,65,49
0,53,65,55
1,62,61,61
2,58,56,45
1,62,63,64
1,66,67,58
0,48,62,58
1,58,58,56
