class,x1,x2
1.000,1.417,5.129
0.000,-1.621,-0.957
1.000,1.784,6.093
0.000,-1.333,-0.639
1.000,0.666,5.395
0.000,-1.289,7.014
1.000,2.498,5.852
0.000,-2.559,-0.243
0.000,-2.510,1.130
1.000,2.442,5.297
0.000,-2.245,-0.442
0.000,-2.860,9.560
1.000,1.302,2.749
0.000,-1.901,0.376
1.000,2.409,6.411
0.000,-1.349,0.388
1.000,2.457,5.300
1.000,0.799,7.221
0.000,-2.376,0.400
1.000,2.624,1.377
1.000,2.342,6.207
1.000,2.162,5.473
0.000,-2.694,1.150
1.000,2.274,0.007
0.000,0.325,9.673
1.000,1.887,5.766
0.000,-1.131,7.755
0.000,-0.674,6.397
1.000,1.878,6.521
0.000,-1.766,-0.647
1.000,1.595,4.986
1.000,1.964,5.937
0.000,-2.058,-0.393
1.000,1.921,6.638
0.000,-0.886,-0.797
1.000,2.076,5.786
0.000,-2.295,1.142
0.000,-1.543,0.487
1.000,1.227,6.981
0.000,-2.447,7.377
0.000,-2.218,-0.142
0.000,-2.566,-0.205
1.000,2.807,5.592
0.000,-2.882,0.260
1.000,1.991,6.095
1.000,2.084,5.811
0.000,-2.090,6.327
1.000,2.975,6.097
0.000,-2.765,0.158
1.000,1.894,6.887
0.000,-2.592,-0.914
0.000,-2.725,0.500
1.000,2.533,1.146
1.000,2.410,5.906
0.000,-2.040,1.014
1.000,2.723,3.012
0.000,-1.776,4.380
0.000,-2.779,-0.273
0.000,-2.126,0.047
0.000,-1.777,-0.650
1.000,2.169,6.360
1.000,2.058,6.345
1.000,1.269,6.791
1.000,2.413,6.002
1.000,1.628,5.715
0.000,-2.381,-1.315
0.000,-2.257,1.094
1.000,1.614,5.692
0.000,-1.613,-2.254
1.000,2.394,5.727
0.000,-2.578,8.575
0.000,-0.846,-0.179
1.000,2.508,6.675
1.000,1.647,5.969
1.000,1.772,6.056
1.000,3.363,5.373
1.000,1.548,5.149
0.000,-1.440,-0.092
0.000,-0.251,9.706
1.000,2.292,5.931
1.000,1.382,6.717
1.000,1.091,5.141
0.000,-2.438,0.913
0.000,-1.659,-0.123
1.000,1.591,6.909
0.000,-1.908,3.148
1.000,1.574,5.519
1.000,1.211,5.203
0.000,-1.928,5.864
1.000,1.333,5.568
0.000,-2.353,-0.141
0.000,-2.752,0.574
0.000,-2.475,-0.408
0.000,-0.905,7.615
0.000,-2.912,0.037
1.000,0.961,6.267
0.000,-1.690,-0.101
1.000,1.595,6.982
0.000,-2.209,-0.813
1.000,1.827,5.549
0.000,-1.602,0.241
0.000,-2.481,-0.868
0.000,-3.172,1.825
0.000,-1.907,0.137
1.000,1.791,5.044
0.000,-1.986,7.793
0.000,-2.183,-0.992
0.000,-0.862,0.876
0.000,-1.748,0.400
1.000,1.658,1.867
1.000,1.064,6.361
1.000,1.787,2.353
0.000,-2.441,-0.489
1.000,0.854,6.112
1.000,2.031,1.778
0.000,-2.455,0.319
0.000,-2.399,0.019
1.000,2.029,6.292
1.000,1.739,5.834
0.000,-1.455,0.189
0.000,-2.274,0.285
1.000,1.583,6.558
1.000,0.427,6.359
0.000,-1.040,8.097
0.000,-2.840,1.432
0.000,-1.757,3.747
1.000,2.238,4.311
1.000,0.910,5.717
1.000,3.157,6.231
0.000,-0.292,7.747
1.000,2.033,3.237
1.000,2.023,5.020
0.000,-2.121,7.660
0.000,-3.781,7.045
0.000,-2.179,3.051
0.000,-2.535,7.613
0.000,-2.111,4.112
0.000,-2.653,0.031
1.000,1.315,5.815
1.000,2.336,5.868
0.000,-4.036,7.904
1.000,1.764,6.219
0.000,-1.535,-0.276
0.000,-2.679,-0.259
0.000,-1.637,0.546
1.000,1.842,5.333
0.000,-0.895,0.536
0.000,-2.014,-0.437
0.000,-2.439,6.117
1.000,1.785,2.446
0.000,-0.590,0.559
1.000,1.593,5.282
0.000,-1.318,0.639
0.000,-2.259,2.752
0.000,-1.803,5.087
1.000,2.229,1.807
0.000,-2.321,0.246
0.000,-1.540,0.931
1.000,1.975,5.830
0.000,-2.023,-0.691
1.000,1.907,7.335
1.000,2.418,4.873
1.000,1.930,5.598
0.000,-1.834,-0.058
0.000,-2.505,4.767
1.000,1.762,4.435
1.000,2.236,4.360
0.000,-2.540,0.661
1.000,0.995,6.229
0.000,-1.438,0.052
1.000,0.979,2.008
0.000,-0.663,-0.025
1.000,2.253,3.931
1.000,1.816,6.058
0.000,-1.630,-0.948
0.000,-1.493,-0.385
1.000,2.578,4.510
0.000,-0.720,0.791
0.000,-1.763,8.321
1.000,2.166,5.412
0.000,-1.462,0.188
1.000,2.632,5.732
1.000,2.308,5.659
1.000,2.381,5.071
1.000,1.716,6.367
1.000,2.408,6.770
0.000,-2.684,0.462
0.000,-1.140,4.353
1.000,3.122,7.645
0.000,-2.010,0.224
0.000,-1.824,0.785
1.000,2.868,6.504
1.000,1.614,5.769
1.000,1.935,6.604
0.000,-2.842,-0.292
1.000,1.920,6.673
0.000,-2.269,0.010
0.000,-1.116,-1.225
1.000,1.297,5.700
1.000,1.571,5.182
0.000,-2.612,0.403
0.000,-2.159,0.475
0.000,-2.079,-0.176
0.000,-2.377,-0.235
1.000,2.179,4.163
0.000,-1.297,0.188
0.000,-2.411,-0.089
1.000,2.551,6.201
1.000,2.310,6.052
1.000,3.057,4.026
