class,x1,x2
0,-1.058,-0.486
0,0.299,-2.610
1,0.953,-0.239
0,-0.924,1.919
0,-0.278,2.011
1,0.300,-0.113
1,0.632,0.001
1,1.163,0.132
0,-0.723,-1.665
1,1.491,0.155
0,-0.584,-0.872
0,-1.168,-0.390
0,0.091,2.268
1,1.261,0.055
1,0.649,0.095
1,0.730,-0.644
1,0.652,-0.216
0,-1.545,0.606
0,0.181,2.367
0,0.198,1.562
0,-1.954,0.589
0,-1.270,-0.412
0,-0.853,-1.613
0,0.270,-2.213
1,1.062,-0.078
1,1.094,0.249
1,0.963,-0.240
0,-1.729,0.424
1,0.828,0.731
0,-3.059,0.112
1,0.944,-0.338
1,1.095,-0.015
0,-1.493,-0.464
0,-0.870,-1.200
0,-2.162,0.116
0,-0.470,-1.340
0,0.079,-1.453
0,-0.112,-2.335
1,1.169,0.139
1,0.762,-0.039
0,-0.625,1.083
0,-0.882,-1.872
0,-0.953,1.182
1,1.152,-0.001
1,1.048,0.170
0,-1.391,0.671
0,-1.554,0.817
0,-0.143,1.485
1,0.939,-0.515
1,0.739,-0.052
1,0.134,0.301
0,-0.291,1.101
0,-0.389,1.278
1,1.002,-0.820
0,-0.082,-1.160
1,0.863,0.103
1,0.581,-0.092
0,-1.191,0.724
1,1.173,-0.810
0,-0.552,1.739
0,-0.915,1.273
1,0.524,-0.191
1,0.768,-0.145
0,-0.635,1.431
0,-2.144,0.052
1,0.780,0.065
0,-0.731,-1.560
1,0.673,-0.086
0,-1.242,1.073
1,0.989,0.225
1,0.864,-0.054
1,0.514,-0.062
0,-0.297,1.538
1,1.305,-0.178
0,-0.474,-0.855
1,1.135,0.036
0,-0.336,2.117
1,1.231,0.188
0,-0.943,-0.763
0,-0.904,-0.857
0,-0.870,0.654
0,-0.833,1.517
1,0.889,-0.476
0,-1.333,-0.596
0,-0.149,2.180
1,0.752,0.149
0,0.072,-2.557
1,0.997,0.024
1,0.665,0.435
1,0.554,-0.073
1,0.690,-0.310
0,-1.243,-0.856
0,-1.136,-0.736
0,-0.002,-2.173
0,0.321,-2.052
0,-0.987,-1.378
1,0.757,0.064
1,0.136,0.041
0,-0.777,-1.500
1,0.558,0.011
0,-1.163,0.769
0,-1.391,-0.716
1,1.346,-0.604
1,0.908,0.214
1,0.680,-0.114
0,-1.824,0.103
1,1.171,0.470
1,0.622,-0.418
0,-0.856,0.666
0,-0.801,-1.130
1,0.550,0.408
1,1.421,0.246
0,-0.765,-1.156
1,0.753,-0.323
0,-0.857,-0.660
1,0.929,0.064
1,1.239,0.368
0,-0.736,-0.721
0,-1.132,-1.529
0,-0.830,1.089
1,1.508,0.021
1,0.893,0.187
0,0.211,1.331
0,-1.461,0.484
1,0.670,0.089
1,0.520,0.277
1,0.715,-0.267
1,0.707,0.163
0,-2.079,0.069
1,1.055,-0.034
1,0.638,-0.409
0,-1.910,-0.319
1,1.354,0.565
1,0.394,0.054
1,0.576,-0.210
1,0.476,-0.146
0,-1.130,-1.276
0,0.169,1.952
0,-0.424,-1.627
1,1.173,-0.048
1,0.965,0.004
1,0.850,0.095
1,1.034,0.358
1,0.727,0.226
0,-0.226,1.787
0,-2.656,-0.008
0,-1.130,-0.763
1,1.248,-0.160
1,1.141,-0.042
1,0.265,-0.169
1,0.763,0.083
1,0.791,-0.184
1,1.120,-0.331
0,0.068,-2.371
0,-1.086,-1.425
1,0.656,0.325
1,0.872,0.084
1,0.221,0.073
0,-1.339,1.248
1,1.118,0.144
0,-1.371,0.695
0,-1.565,-0.410
0,-2.222,0.442
1,0.808,-0.247
0,-1.111,-0.641
0,-0.921,-0.868
1,1.222,0.435
1,0.170,-0.281
0,-2.082,-0.695
0,-1.839,-0.410
1,0.731,-0.402
0,-0.308,1.852
0,-1.351,0.119
0,-1.667,-0.519
1,1.394,0.085
0,-1.459,-0.791
1,0.754,-0.905
1,0.967,0.222
0,-0.670,2.161
0,-1.271,0.413
1,1.337,0.298
1,1.124,-0.109
1,0.327,0.174
1,0.988,0.152
0,-0.965,0.739
1,1.021,-0.263
1,0.625,-0.310
0,-0.950,1.859
0,-1.513,-0.989
0,-0.096,2.743
0,-1.514,0.536
1,1.086,-0.107
1,0.662,-0.340
0,-0.794,-1.549
1,0.515,0.276
0,-1.173,1.581
1,0.508,0.436
1,1.222,0.237
0,-0.281,-2.139
1,1.023,0.121
0,-2.286,0.565
0,-1.741,-0.930
1,0.160,0.112
1,1.150,0.120
1,0.660,0.508
0,-1.612,0.322
1,0.966,0.572
0,0.320,2.209
1,0.323,0.144
0,0.775,3.034
0,-2.328,0.092
0,-0.054,-1.388
1,0.690,-0.039
0,-0.183,-1.247
1,0.381,0.223
1,0.245,-0.132
0,0.088,-2.022
1,0.870,-0.193
0,-0.491,-1.425
0,-2.627,-0.015
0,-0.447,-1.870
1,0.241,0.671
0,-0.866,0.762
0,-0.287,-0.597
0,-0.328,1.599
1,0.835,0.385
1,0.984,0.658
1,0.940,0.019
1,1.119,0.352
1,0.573,0.132
0,-0.820,0.510
1,0.455,-0.200
1,0.889,0.271
0,-0.638,1.384
0,-0.068,-1.984
0,-2.692,-0.249
0,-0.985,-1.730
1,0.460,-0.573
0,-0.382,1.625
1,1.096,0.036
0,-0.329,-1.616
0,-0.773,-0.418
0,-1.030,1.138
1,1.423,0.341
1,0.780,-0.037
0,-1.468,0.945
1,0.547,0.288
1,0.720,0.779
0,-1.104,-0.239
0,0.485,-2.262
0,-0.458,2.023
0,-1.262,1.380
0,-1.458,0.485
1,1.011,0.243
1,0.350,-0.240
0,-1.003,-1.096
0,-1.096,1.186
0,0.097,1.112
1,0.872,0.152
0,-0.008,2.096
0,-0.916,0.387
1,0.836,0.384
1,0.814,0.001
1,0.690,0.018
0,-0.648,-0.922
1,1.042,0.062
1,0.965,-0.272
1,1.094,0.436
0,-0.686,-1.465
1,0.663,0.546
1,0.767,-0.464
0,-1.552,-1.403
0,-0.675,-1.537
0,-0.659,-1.093
1,0.786,-0.200
0,-0.506,1.357
1,0.922,-0.064
0,-2.493,0.180
1,0.812,0.306
1,1.723,0.012
0,-1.394,0.794
1,0.431,-0.118
1,0.175,0.158
0,-2.011,0.986
1,0.835,0.367
1,0.926,0.106
0,0.048,1.843
1,1.291,-0.238
0,-0.596,-0.603
0,-0.438,-1.311
0,-0.182,2.176
0,-2.060,-0.548
1,0.840,-0.175
1,1.078,-0.464
0,-0.873,0.953
0,-0.672,-1.612
0,-1.733,-0.040
0,-1.559,-0.969
1,0.780,-0.482
0,-0.833,1.701
0,-0.198,-2.498
0,-1.243,1.543
1,0.568,-0.419
0,-0.111,1.625
1,0.044,0.222
0,-0.477,-1.999
1,1.215,-0.755
1,0.837,0.064
1,1.032,-0.001
1,0.730,-0.032
0,-0.462,2.380
1,0.880,0.197
1,1.020,-0.530
0,-1.774,-0.607
1,0.809,-0.300
0,-0.392,-1.583
1,0.858,0.002
1,0.809,0.172
0,-0.151,-1.659
1,0.843,0.349
0,-0.189,-1.489
0,-0.164,-1.673
1,1.221,-0.038
0,-1.200,1.232
1,1.158,0.459
1,0.345,0.154
0,-1.286,0.438
1,1.146,0.387
0,0.033,-1.506
1,0.793,-0.313
1,0.650,-0.392
0,0.070,-1.414
1,1.041,-0.143
0,-1.016,-2.155
1,0.505,-0.122
1,0.365,-0.449
1,0.818,-0.087
1,0.586,-0.020
1,0.578,-0.072
0,-0.391,1.411
0,-0.203,-1.421
1,1.133,0.053
1,0.459,-0.381
1,1.212,-0.105
0,-0.322,1.512
1,0.801,0.503
1,0.699,0.118
0,-0.529,-0.467
0,0.625,-2.368
1,0.592,-0.096
0,-0.236,2.147
1,1.059,0.142
0,-0.860,1.320
1,0.819,-0.214
1,1.112,-0.332
1,1.128,0.059
0,-1.052,-1.051
1,0.757,-0.102
0,-0.133,1.555
0,-0.429,1.800
1,0.994,0.078
0,-0.136,-1.680
0,-0.672,1.999
0,-0.896,-0.840
0,-1.665,-0.188
1,0.740,0.091
0,-1.581,-0.844
1,0.795,-0.022
0,-0.687,-0.927
0,0.103,1.336
0,-1.016,1.162
0,-0.179,2.233
1,0.424,0.281
0,-1.215,-1.406
0,-0.389,-1.737
1,0.704,-0.111
0,-0.231,-1.215
0,-0.554,0.933
1,0.836,-0.057
1,1.600,-0.292
0,-1.377,0.161
0,0.192,1.502
1,0.732,0.183
1,1.352,0.205
1,1.079,-0.450
0,-1.751,0.032
0,-0.530,1.473
1,1.586,0.022
1,0.270,0.093
1,0.671,-0.124
0,-0.226,1.250
1,0.673,-0.126
0,-0.752,-1.309
0,-1.220,0.933
1,1.169,0.214
1,0.468,0.546
1,0.677,-0.088
0,-1.778,-0.213
0,-0.090,1.921
1,1.148,-0.784
