class,x1,x2
0,2.347,0.069
0,1.792,0.388
0,2.421,-0.169
0,1.772,-0.026
0,1.027,0.071
0,1.202,0.252
0,1.638,0.021
0,1.414,0.058
0,2.156,-0.036
0,1.321,-0.148
0,-0.705,0.113
0,1.711,-0.129
0,2.705,-0.252
0,1.132,-0.032
0,2.184,0.255
0,1.210,0.065
0,0.472,-0.343
0,0.854,0.027
0,1.970,0.208
0,0.826,-0.052
0,0.359,-0.246
0,-0.107,0.338
0,0.740,-0.076
0,0.214,0.135
0,-0.041,-0.037
0,0.467,0.067
0,0.739,-0.204
0,1.080,0.074
0,1.147,0.052
0,0.651,-0.063
0,0.624,-0.062
0,0.525,-0.299
0,1.225,-0.070
0,-0.053,0.080
0,0.458,0.009
0,1.616,0.022
0,1.906,-0.214
0,1.384,-0.119
0,0.484,-0.100
0,0.880,0.010
0,0.276,0.156
0,1.429,-0.266
0,2.152,0.328
0,1.934,-0.031
0,0.343,0.183
0,0.815,0.212
0,1.247,0.169
0,1.352,0.122
0,1.107,0.309
0,1.190,0.070
1,3.868,1.964
1,1.736,1.196
1,1.711,1.377
1,2.410,1.242
1,3.647,2.402
1,3.663,2.296
1,1.905,1.482
1,2.364,1.526
1,3.192,1.812
1,2.894,1.855
1,2.924,1.468
1,2.666,1.804
1,2.186,1.232
1,2.171,1.624
1,2.974,1.799
1,2.080,1.309
1,2.182,1.266
1,2.150,1.377
1,2.969,1.673
1,2.935,1.476
1,1.647,1.039
1,2.645,1.654
1,3.976,2.484
1,1.942,1.345
1,1.832,0.966
1,2.408,1.733
1,2.214,1.113
1,2.595,1.366
1,3.382,1.736
1,1.933,1.029
1,2.126,1.613
1,3.172,1.849
1,1.775,1.193
1,2.119,0.915
1,3.298,1.968
1,3.134,1.873
1,3.179,1.705
1,1.906,1.237
1,2.166,1.113
1,2.318,1.342
1,2.500,1.169
1,2.396,0.939
1,3.120,1.481
1,1.917,1.117
1,2.012,1.470
1,1.783,1.083
1,2.675,1.311
1,2.933,1.659
1,2.999,1.896
1,3.807,2.465
0,1.114,2.068
0,0.560,1.746
0,1.357,2.012
0,0.909,1.521
0,0.452,0.925
0,0.383,1.167
0,0.801,1.429
0,0.657,1.253
0,1.109,1.850
0,0.789,1.070
0,-0.451,-0.554
0,0.967,1.418
0,1.571,2.217
0,0.594,0.964
0,0.872,2.019
0,0.548,1.080
0,0.533,0.237
0,0.404,0.753
0,0.805,1.810
0,0.458,0.689
0,0.392,0.188
0,-0.346,0.077
0,0.436,0.603
0,-0.010,0.253
0,0.011,-0.054
0,0.175,0.438
0,0.546,0.538
0,0.476,0.972
0,0.528,1.020
0,0.380,0.533
0,0.366,0.510
0,0.521,0.305
0,0.673,1.026
0,-0.096,-0.006
0,0.221,0.402
0,0.788,1.410
0,1.138,1.543
0,0.795,1.140
0,0.329,0.369
0,0.431,0.767
0,0.003,0.317
0,0.945,1.105
0,0.792,2.028
0,0.994,1.659
0,0.013,0.388
0,0.224,0.812
0,0.477,1.165
0,0.570,1.232
0,0.286,1.114
0,0.535,1.065
1,0.233,4.332
1,-0.168,2.102
1,-0.337,2.170
1,0.129,2.708
1,-0.256,4.360
1,-0.157,4.321
1,-0.331,2.391
1,-0.139,2.810
1,0.027,3.670
1,-0.160,3.434
1,0.190,3.266
1,-0.230,3.211
1,0.026,2.509
1,-0.320,2.692
1,-0.071,3.475
1,-0.093,2.456
1,-0.006,2.523
1,-0.117,2.550
1,0.036,3.408
1,0.189,3.280
1,-0.076,1.946
1,-0.110,3.118
1,-0.164,4.685
1,-0.193,2.355
1,0.080,2.070
1,-0.297,2.952
1,0.143,2.473
1,0.115,2.930
1,0.187,3.797
1,0.076,2.189
1,-0.334,2.648
1,-0.015,3.671
1,-0.146,2.133
1,0.268,2.293
1,-0.055,3.840
1,-0.055,3.651
1,0.113,3.606
1,-0.118,2.269
1,0.119,2.432
1,-0.003,2.678
1,0.238,2.750
1,0.385,2.545
1,0.277,3.442
1,-0.009,2.219
1,-0.267,2.477
1,-0.046,2.086
1,0.202,2.972
1,0.030,3.370
1,-0.143,3.546
1,-0.231,4.530
0,-1.234,1.998
0,-1.232,1.358
0,-1.064,2.181
0,-0.863,1.548
0,-0.575,0.854
0,-0.819,0.915
0,-0.837,1.408
0,-0.757,1.196
0,-1.047,1.885
0,-0.533,1.218
0,0.255,-0.667
0,-0.744,1.546
0,-1.134,2.469
0,-0.538,0.997
0,-1.312,1.764
0,-0.662,1.015
0,0.061,0.581
0,-0.450,0.726
0,-1.165,1.602
0,-0.368,0.742
0,0.034,0.434
0,-0.239,-0.261
0,-0.304,0.678
0,-0.224,0.118
0,0.053,-0.017
0,-0.291,0.371
0,-0.192,0.742
0,-0.604,0.898
0,-0.619,0.967
0,-0.271,0.596
0,-0.258,0.572
0,-0.004,0.604
0,-0.552,1.096
0,-0.043,-0.086
0,-0.237,0.393
0,-0.827,1.388
0,-0.768,1.757
0,-0.590,1.258
0,-0.155,0.470
0,-0.448,0.757
0,-0.273,0.161
0,-0.484,1.371
0,-1.361,1.700
0,-0.940,1.690
0,-0.330,0.206
0,-0.591,0.600
0,-0.770,0.996
0,-0.782,1.110
0,-0.822,0.804
0,-0.655,0.996
1,-3.635,2.368
1,-1.904,0.905
1,-2.048,0.794
1,-2.280,1.466
1,-3.904,1.958
1,-3.820,2.024
1,-2.236,0.909
1,-2.503,1.285
1,-3.165,1.858
1,-3.054,1.579
1,-2.733,1.798
1,-2.896,1.406
1,-2.160,1.277
1,-2.492,1.069
1,-3.045,1.677
1,-2.173,1.147
1,-2.188,1.257
1,-2.267,1.174
1,-2.933,1.735
1,-2.746,1.804
1,-1.723,0.907
1,-2.755,1.464
1,-4.139,2.201
1,-2.136,1.010
1,-1.752,1.104
1,-2.705,1.219
1,-2.070,1.361
1,-2.480,1.565
1,-3.194,2.060
1,-1.857,1.160
1,-2.460,1.034
1,-3.187,1.823
1,-1.921,0.940
1,-1.852,1.378
1,-3.353,1.872
1,-3.190,1.778
1,-3.066,1.901
1,-2.024,1.032
1,-2.046,1.319
1,-2.321,1.336
1,-2.262,1.581
1,-2.011,1.606
1,-2.842,1.961
1,-1.926,1.102
1,-2.279,1.007
1,-1.829,1.003
1,-2.473,1.661
1,-2.904,1.711
1,-3.142,1.649
1,-4.039,2.064
0,-2.347,-0.069
0,-1.792,-0.388
0,-2.421,0.169
0,-1.772,0.026
0,-1.027,-0.071
0,-1.202,-0.252
0,-1.638,-0.021
0,-1.414,-0.058
0,-2.156,0.036
0,-1.321,0.148
0,0.705,-0.113
0,-1.711,0.129
0,-2.705,0.252
0,-1.132,0.032
0,-2.184,-0.255
0,-1.210,-0.065
0,-0.472,0.343
0,-0.854,-0.027
0,-1.970,-0.208
0,-0.826,0.052
0,-0.359,0.246
0,0.107,-0.338
0,-0.740,0.076
0,-0.214,-0.135
0,0.041,0.037
0,-0.467,-0.067
0,-0.739,0.204
0,-1.080,-0.074
0,-1.147,-0.052
0,-0.651,0.063
0,-0.624,0.062
0,-0.525,0.299
0,-1.225,0.070
0,0.053,-0.080
0,-0.458,-0.009
0,-1.616,-0.022
0,-1.906,0.214
0,-1.384,0.119
0,-0.484,0.100
0,-0.880,-0.010
0,-0.276,-0.156
0,-1.429,0.266
0,-2.152,-0.328
0,-1.934,0.031
0,-0.343,-0.183
0,-0.815,-0.212
0,-1.247,-0.169
0,-1.352,-0.122
0,-1.107,-0.309
0,-1.190,-0.070
1,-3.868,-1.964
1,-1.736,-1.196
1,-1.711,-1.377
1,-2.410,-1.242
1,-3.647,-2.402
1,-3.663,-2.296
1,-1.905,-1.482
1,-2.364,-1.526
1,-3.192,-1.812
1,-2.894,-1.855
1,-2.924,-1.468
1,-2.666,-1.804
1,-2.186,-1.232
1,-2.171,-1.624
1,-2.974,-1.799
1,-2.080,-1.309
1,-2.182,-1.266
1,-2.150,-1.377
1,-2.969,-1.673
1,-2.935,-1.476
1,-1.647,-1.039
1,-2.645,-1.654
1,-3.976,-2.484
1,-1.942,-1.345
1,-1.832,-0.966
1,-2.408,-1.733
1,-2.214,-1.113
1,-2.595,-1.366
1,-3.382,-1.736
1,-1.933,-1.029
1,-2.126,-1.613
1,-3.172,-1.849
1,-1.775,-1.193
1,-2.119,-0.915
1,-3.298,-1.968
1,-3.134,-1.873
1,-3.179,-1.705
1,-1.906,-1.237
1,-2.166,-1.113
1,-2.318,-1.342
1,-2.500,-1.169
1,-2.396,-0.939
1,-3.120,-1.481
1,-1.917,-1.117
1,-2.012,-1.470
1,-1.783,-1.083
1,-2.675,-1.311
1,-2.933,-1.659
1,-2.999,-1.896
1,-3.807,-2.465
0,-1.114,-2.068
0,-0.560,-1.746
0,-1.357,-2.012
0,-0.909,-1.521
0,-0.452,-0.925
0,-0.383,-1.167
0,-0.801,-1.429
0,-0.657,-1.253
0,-1.109,-1.850
0,-0.789,-1.070
0,0.451,0.554
0,-0.967,-1.418
0,-1.571,-2.217
0,-0.594,-0.964
0,-0.872,-2.019
0,-0.548,-1.080
0,-0.533,-0.237
0,-0.404,-0.753
0,-0.805,-1.810
0,-0.458,-0.689
0,-0.392,-0.188
0,0.346,-0.077
0,-0.436,-0.603
0,0.010,-0.253
0,-0.011,0.054
0,-0.175,-0.438
0,-0.546,-0.538
0,-0.476,-0.972
0,-0.528,-1.020
0,-0.380,-0.533
0,-0.366,-0.510
0,-0.521,-0.305
0,-0.673,-1.026
0,0.096,0.006
0,-0.221,-0.402
0,-0.788,-1.410
0,-1.138,-1.543
0,-0.795,-1.140
0,-0.329,-0.369
0,-0.431,-0.767
0,-0.003,-0.317
0,-0.945,-1.105
0,-0.792,-2.028
0,-0.994,-1.659
0,-0.013,-0.388
0,-0.224,-0.812
0,-0.477,-1.165
0,-0.570,-1.232
0,-0.286,-1.114
0,-0.535,-1.065
1,-0.233,-4.332
1,0.168,-2.102
1,0.337,-2.170
1,-0.129,-2.708
1,0.256,-4.360
1,0.157,-4.321
1,0.331,-2.391
1,0.139,-2.810
1,-0.027,-3.670
1,0.160,-3.434
1,-0.190,-3.266
1,0.230,-3.211
1,-0.026,-2.509
1,0.320,-2.692
1,0.071,-3.475
1,0.093,-2.456
1,0.006,-2.523
1,0.117,-2.550
1,-0.036,-3.408
1,-0.189,-3.280
1,0.076,-1.946
1,0.110,-3.118
1,0.164,-4.685
1,0.193,-2.355
1,-0.080,-2.070
1,0.297,-2.952
1,-0.143,-2.473
1,-0.115,-2.930
1,-0.187,-3.797
1,-0.076,-2.189
1,0.334,-2.648
1,0.015,-3.671
1,0.146,-2.133
1,-0.268,-2.293
1,0.055,-3.840
1,0.055,-3.651
1,-0.113,-3.606
1,0.118,-2.269
1,-0.119,-2.432
1,0.003,-2.678
1,-0.238,-2.750
1,-0.385,-2.545
1,-0.277,-3.442
1,0.009,-2.219
1,0.267,-2.477
1,0.046,-2.086
1,-0.202,-2.972
1,-0.030,-3.370
1,0.143,-3.546
1,0.231,-4.530
0,1.234,-1.998
0,1.232,-1.358
0,1.064,-2.181
0,0.863,-1.548
0,0.575,-0.854
0,0.819,-0.915
0,0.837,-1.408
0,0.757,-1.196
0,1.047,-1.885
0,0.533,-1.218
0,-0.255,0.667
0,0.744,-1.546
0,1.134,-2.469
0,0.538,-0.997
0,1.312,-1.764
0,0.662,-1.015
0,-0.061,-0.581
0,0.450,-0.726
0,1.165,-1.602
0,0.368,-0.742
0,-0.034,-0.434
0,0.239,0.261
0,0.304,-0.678
0,0.224,-0.118
