class,x1,x2
2,-0.056,-1.452
0,-1.895,-0.256
2,-0.2,-1.183
1,1.182,1.309
2,0.311,-1.655
0,-1.866,-0.3
0,-1.048,0.496
0,-1.107,1.022
1,1.084,0.923
2,0.226,-1.207
0,-0.751,0.846
1,1.027,0.702
2,0.18,-1.268
1,0.891,0.631
0,-1.918,-0.06
2,0.145,-1.515
0,-1.264,0.681
1,1.419,0.943
2,0.002,-1.433
0,-0.666,1.077
1,1.366,0.962
2,0.397,-1.546
1,1.585,0.802
1,0.906,0.582
2,0.342,-1.673
1,1.15,0.747
1,1.681,0.472
1,0.881,1.126
1,1.02,0.558
1,0.603,0.628
1,1.32,1.026
2,-0.153,-1.127
2,0.264,-1.266
0,-1.36,0.405
0,-1.133,0.41
2,0.327,-1.535
2,0.496,-1.359
0,-0.956,0.697
0,-1.46,0.289
0,-1.27,0.538
0,-1.074,0.543
0,-0.964,0.721
0,-1.704,0.325
1,0.982,0.613
2,0.195,-1.32
0,-1.302,0.268
1,1.497,0.921
0,-0.922,0.958
0,-2.057,-0.422
0,-0.701,1.148
2,0.171,-1.382
2,0.067,-1.31
0,-0.855,0.824
2,0.296,-1.84
2,-0.059,-1.065
0,-1.117,0.332
0,-1.587,-0.021
0,-1.351,0.127
0,-1.315,0.523
2,0.082,-1.315
1,0.87,1.059
0,-1.291,0.411
1,1.24,0.423
0,-1.093,0.624
0,-1.645,-0.234
1,1.085,1.085
2,-0.251,-0.963
2,-0.165,-1.052
1,1.282,0.532
2,0.186,-1.132
2,0.105,-1.264
1,0.876,0.875
0,-0.611,1.075
0,-0.876,0.639
2,-0.251,-0.911
0,-0.716,0.747
2,0.56,-1.435
0,-0.845,0.635
1,1.213,0.917
1,0.944,0.871
0,-1.855,0.197
1,1,0.892
2,0.213,-1.371
0,-0.666,1.458
0,-1.615,0.159
0,-1.149,0.489
2,-0.431,-0.987
0,-1.088,0.754
2,0.254,-1.168
0,-0.948,0.578
0,-1.133,0.752
1,1.209,1.284
0,-1.645,0.221
2,0.255,-1.627
1,0.912,0.807
2,0.075,-1.143
0,-1.355,0.12
1,0.686,0.817
1,1.195,1.222
0,-1.028,0.588
2,-0.113,-1.204
2,-0.081,-1.053
1,0.96,1.179
0,-0.846,1.046
0,-1.476,0.229
2,0.193,-1.338
2,-0.103,-1.222
2,-0.187,-0.982
0,-0.978,0.707
0,-1.023,0.725
1,1.179,0.906
1,1.113,1.073
0,-1.126,0.732
0,-0.803,0.658
0,-1.533,0.265
0,-0.781,1.33
2,-0.073,-1.225
2,0.149,-1.451
0,-1.275,0.313
1,0.862,0.902
2,0.121,-1.28
2,-0.008,-1.455
1,1.06,0.765
1,0.84,1.015
1,1.394,0.609
2,0.182,-1.484
2,0.254,-1.611
1,1.093,0.836
1,0.817,1.008
0,-1.285,0.432
1,1.246,0.865
2,0.354,-1.219
1,1.085,0.853
0,-1.084,0.682
2,0.288,-1.668
0,-1.64,0.323
0,-1.148,0.544
1,0.849,0.815
0,-0.892,1.028
0,-1.913,0.076
1,0.635,0.9
0,-1.14,0.698
0,-0.968,0.477
1,1.061,0.59
1,0.49,1.025
1,1.001,0.687
2,0.126,-1.535
1,1.021,0.621
1,0.945,0.717
0,-0.658,0.978
1,0.601,0.685
2,0.26,-1.464
1,0.846,0.754
0,-0.282,1.535
1,0.937,0.806
1,1.238,1.211
2,0.558,-1.434
2,0.197,-1.632
0,-0.669,1.15
0,-1.22,0.787
1,1.178,0.92
2,0.325,-1.186
0,-0.884,1.012
1,0.721,0.435
1,1.241,0.617
2,-0.261,-1.161
1,0.972,0.727
0,-1.438,0.125
0,-1.532,0.141
2,0.332,-1.398
0,-1.386,0.521
2,0.02,-1.402
0,-1.348,0.512
0,-0.725,0.632
2,-0.073,-1.352
0,-1.282,0.326
2,0.108,-1.524
0,-2.06,-0.147
2,0.191,-1.756
1,0.999,0.922
1,0.995,0.784
1,1.368,1.148
1,1.168,1.206
2,0.332,-1.568
1,1.461,0.495
2,0.262,-1.7
1,1.523,1.217
0,-0.835,0.919
2,0.028,-0.965
1,1.097,0.876
2,0.253,-1.499
1,0.587,0.916
0,-1.639,0.184
2,-0.013,-1.048
0,-0.612,0.858
1,1.269,0.545
2,0.131,-1.389
0,-0.944,1.009
2,0.567,-1.541
2,-0.147,-1.11
2,0.184,-1.432
1,1.299,0.747
1,1.243,0.749
1,0.945,0.199
1,0.796,0.764
0,-2.021,0.175
0,-0.866,0.77
1,0.65,0.912
1,1.129,1.004
0,-1.522,0.185
2,0.157,-1.364
0,-1.343,0.484
1,1.335,0.963
1,0.932,0.984
0,-1.152,0.932
2,0.169,-1.166
2,0.348,-1.535
2,-0.092,-1.332
1,1.835,0.816
0,-0.782,1.008
2,0.409,-1.429
2,0.045,-1.224
2,0.364,-1.353
0,-0.881,0.734
1,1.252,1.066
0,-1.43,0.476
2,0.29,-1.186
0,-1.557,0.267
2,-0.411,-0.655
2,0.164,-1.275
0,-1.998,0.116
0,-1.357,0.499
0,-0.619,1.194
0,-1.473,0.337
2,-0.023,-1.188
1,1.37,0.772
1,1.406,0.26
0,-0.327,1.501
1,1.35,0.894
0,-0.721,1.097
2,-0.273,-1.358
1,1.168,0.746
1,0.865,0.655
0,-1.301,0.316
1,1.092,0.611
1,1.139,0.591
1,1.521,0.956
1,1.023,0.432
2,0.097,-1.238
2,0.35,-1.367
0,-1.08,0.624
1,1.122,0.95
0,-0.771,0.884
2,0.139,-1.323
1,1.338,0.833
1,1.393,0.816
1,1.176,0.562
0,-0.703,0.942
1,1.172,1.074
2,-0.01,-1.543
1,1.116,1.016
1,1.581,1.054
1,1.455,0.879
2,-0.021,-1.46
1,1.653,0.822
2,0.154,-1.705
1,0.987,0.837
2,0.205,-1.641
2,-0.018,-1.648
2,0.516,-1.556
1,1.104,0.761
0,-1.062,0.646
0,-0.825,0.643
0,-1.18,0.533
1,1.184,0.633
0,-1.012,0.848
2,0.519,-2.073
2,-0.195,-0.958
0,-2.151,-0.024
0,-1.435,0.541
1,1.037,0.78
2,-0.087,-1.128
1,1.242,0.895
0,-1.634,0.085
1,0.978,1.076
1,1.179,0.933
2,0.37,-1.539
1,1.066,0.808
2,0.162,-1.106
0,-1.151,0.088
1,1.122,0.993
0,-1.561,0.316
1,1.412,1.122
2,0.408,-0.994
1,0.985,0.65
1,0.935,0.767
1,1.368,0.824
2,0.474,-1.768
1,1.28,1.032
1,1.221,0.824
0,-0.909,1.156
2,0.333,-1.496
2,0.677,-1.495
1,1.055,1.172
0,-1.526,0.129
2,-0.106,-1.184
2,0.132,-1.146
1,1.218,0.864
2,0.314,-1.545
0,-0.902,0.691
0,-0.968,1.016
1,1.298,0.674
0,-2.137,-0.301
1,1.096,1.138
2,0.377,-1.567
2,0.323,-1.309
2,0.132,-1.433
0,-0.969,0.71
0,-1.159,0.483
1,1.325,0.461
0,-1.119,0.664
0,-2.006,-0.45
2,0.145,-1.728
1,1.323,0.912
1,1.311,0.838
2,0.289,-1.603
2,0.39,-1.82
2,0.139,-1.471
0,-1.267,0.862
0,-1.442,0.326
1,1.06,0.628
2,0.288,-1.174
0,-1.133,0.663
0,-1.519,0.344
1,1.349,0.239
2,-0.03,-1.191
2,0.209,-1.649
1,1.337,1.136
1,0.996,0.515
1,0.694,0.634
2,-0.096,-0.979
1,0.584,0.712
0,-1.29,0.57
2,0.363,-1.776
2,0.013,-1.344
2,-0.153,-1.444
2,0.372,-1.082
2,0.136,-1.324
1,0.735,1.011
1,1.311,0.586
0,-1.703,0.074
1,1.028,0.654
0,-1.02,0.654
2,0.007,-1.54
1,0.762,0.662
